Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,25)","Exit_EMA(C,25)","Entry_EMA(C,75)","Exit_EMA(C,75)","Entry_EMA(C,350)","Exit_EMA(C,350)"
-9,18,209,10960.0,8225.04,,,24269.30927999999,345.33072000000004,0.2460392262773722,2018-01-19 00:00:00+00:00,2018-07-29 00:00:00+00:00,191 days,,13328.317666167466,7393.56677643836,13523.672738884574,7341.643840454593,13433.750045948984,9809.941007030657
-18,219,444,6720.63,4043.04,,,47809.12788,387.49212,0.39521036867079423,2018-08-08 00:00:00+00:00,2019-03-21 00:00:00+00:00,225 days,,7246.3661479102575,3900.154503027874,7309.350514689228,3895.0437481012495,9666.892864730184,5991.399336187831
19,746,798,8720.15,8034.76,,,-13659.096579999989,636.68658,-0.0824412217679741,2020-01-17 00:00:00+00:00,2020-03-09 00:00:00+00:00,52 days,,7967.376716424004,8985.252061132822,7905.116727011644,8886.174863117192,8008.921659635936,8328.557334518282
-19,801,850,7934.58,8778.58,,,-16671.10008,635.1000799999999,-0.11058257904010042,2020-03-12 00:00:00+00:00,2020-04-30 00:00:00+00:00,49 days,,8517.213164149985,7419.821106450242,8729.519665794489,7466.694264277689,8303.774342901668,7936.660524939088
16,852,1234,8825.67,42849.78,,,542732.1456,1653.6144000000002,3.843420284239044,2020-05-02 00:00:00+00:00,2021-05-19 00:00:00+00:00,382 days,,7639.138516738668,50966.40654393779,7541.16334334914,52100.799780549954,7947.604205956979,33254.66368984446
15,1316,1438,43794.36,50471.19,,,97324.48350000003,2827.9665000000005,0.14815375541508088,2021-08-09 00:00:00+00:00,2021-12-09 00:00:00+00:00,122 days,,39152.391806031344,54889.90273396265,38530.8751832673,55500.72977384472,34371.11672760047,44305.346173757134
16,1549,1557,47434.79,43170.47,,,-71128.48831999999,2899.36832,-0.09371877729404939,2022-03-30 00:00:00+00:00,2022-04-07 00:00:00+00:00,8 days,,43032.29173721846,44045.34771162635,42589.28062876782,43107.31408921215,43373.44314592482,43460.7410002509
-17,1565,1841,39942.37,20872.99,,,322111.73776000005,2067.72224,0.47437719093784364,2022-04-15 00:00:00+00:00,2023-01-16 00:00:00+00:00,276 days,,42565.523144418745,18137.488262753606,42703.37195276064,17885.947710713768,43352.63242234461,25200.541132147682
34,1998,2055,29993.89,26623.41,,,-118446.29639999998,3849.9764,-0.11614747536915013,2023-06-22 00:00:00+00:00,2023-08-18 00:00:00+00:00,57 days,,27139.783609116825,28931.72586118241,26958.713671885544,28915.940072478068,25893.824314773028,26953.21416184982
-34,2057,2067,26100.01,27716.34,,,-58614.73180000006,3659.5118,-0.06605218542061869,2023-08-20 00:00:00+00:00,2023-08-30 00:00:00+00:00,10 days,,28519.754520770814,27406.26770627609,28772.051211372906,28225.910204743283,26944.03144525994,26914.75746740091
30,2117,2370,28320.0,61706.46,,,996192.2124,5401.5876,1.1725426228813558,2023-10-19 00:00:00+00:00,2024-06-28 00:00:00+00:00,253 days,,27478.8686108657,64630.1396824736,27377.219435955358,65003.70431155851,26903.00779066682,50743.86608485888
28,2398,2409,65799.95,54018.82,,,-336581.4911199999,6709.851119999999,-0.18268657559770177,2024-07-26 00:00:00+00:00,2024-08-06 00:00:00+00:00,11 days,,63985.639970287186,62551.82173371483,63766.082519475065,63393.54638838402,52431.689378068084,53051.196009986474
23,2461,2614,65173.99,84250.09,,,431876.79232,6873.50768,0.2881095946404385,2024-09-27 00:00:00+00:00,2025-02-27 00:00:00+00:00,153 days,,61537.08679232851,94686.16741956948,61124.33196469363,95345.13487786289,54843.42709576525,76043.4334682447
20,2674,2833,93749.29,122232.21,,,561019.1400000002,8639.26,0.29921247403580353,2025-04-28 00:00:00+00:00,2025-10-04 00:00:00+00:00,159 days,,88458.51560270319,114736.42290060513,88043.61220238637,113453.8084451022,78812.62753579827,98399.56602735989
